tokenizer_name,analysis_type,embedding_size,metric_type,metric_value,axis_name
Bloom,random_xn_tok,14336,ndcg_at_10,4.656,Bloom(250880 vocab size)
Bloom,random_xn_tok,12288,ndcg_at_10,4.648,Bloom(250880 vocab size)
Bloom,random_xn_tok,9216,ndcg_at_10,4.644,Bloom(250880 vocab size)
Bloom,random_xn_tok,7168,ndcg_at_10,4.568,Bloom(250880 vocab size)
Bloom,random_xn_tok,5120,ndcg_at_10,4.5600000000000005,Bloom(250880 vocab size)
Bloom,random_xn_tok,4096,ndcg_at_10,4.4830000000000005,Bloom(250880 vocab size)
Bloom,random_xn_tok,2560,ndcg_at_10,4.405,Bloom(250880 vocab size)
Bloom,random_xn_tok,2048,ndcg_at_10,4.324,Bloom(250880 vocab size)
Bloom,random_xn_tok,1536,ndcg_at_10,4.25,Bloom(250880 vocab size)
Bloom,random_xn_tok,1088,ndcg_at_10,3.925,Bloom(250880 vocab size)
Bloom,random_xn_tok,1024,ndcg_at_10,3.9530000000000003,Bloom(250880 vocab size)
Bloom,random_xn_tok,768,ndcg_at_10,3.694,Bloom(250880 vocab size)
Bloom,random_xn_tok,512,ndcg_at_10,3.309,Bloom(250880 vocab size)
Bloom,random_xn_tok,256,ndcg_at_10,2.692,Bloom(250880 vocab size)
Bloom,random_xn_tok,128,ndcg_at_10,1.429,Bloom(250880 vocab size)
