tokenizer_name,analysis_type,embedding_size,metric_type,metric_value,axis_name
GPT-NeoX,random_xn_tok,14336,map_at_100,2.274,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,12288,map_at_100,2.265,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,9216,map_at_100,2.243,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,7168,map_at_100,2.2159999999999997,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,5120,map_at_100,2.172,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,4096,map_at_100,2.161,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2560,map_at_100,2.0650000000000004,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2048,map_at_100,2.116,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1536,map_at_100,2.06,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1088,map_at_100,1.955,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1024,map_at_100,1.894,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,768,map_at_100,1.7840000000000003,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,512,map_at_100,1.637,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,256,map_at_100,1.312,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,128,map_at_100,0.881,GPT-NeoX(50304 vocab size)
T5,random_xn_tok,14336,map_at_100,1.917,T5(32128 vocab size)
T5,random_xn_tok,12288,map_at_100,1.9189999999999998,T5(32128 vocab size)
T5,random_xn_tok,9216,map_at_100,1.933,T5(32128 vocab size)
T5,random_xn_tok,7168,map_at_100,1.864,T5(32128 vocab size)
T5,random_xn_tok,5120,map_at_100,1.863,T5(32128 vocab size)
T5,random_xn_tok,4096,map_at_100,1.8450000000000002,T5(32128 vocab size)
T5,random_xn_tok,2560,map_at_100,1.8800000000000001,T5(32128 vocab size)
T5,random_xn_tok,2048,map_at_100,1.8769999999999998,T5(32128 vocab size)
T5,random_xn_tok,1536,map_at_100,1.9060000000000001,T5(32128 vocab size)
T5,random_xn_tok,1088,map_at_100,1.891,T5(32128 vocab size)
T5,random_xn_tok,1024,map_at_100,1.892,T5(32128 vocab size)
T5,random_xn_tok,768,map_at_100,1.817,T5(32128 vocab size)
T5,random_xn_tok,512,map_at_100,1.6199999999999999,T5(32128 vocab size)
T5,random_xn_tok,256,map_at_100,1.294,T5(32128 vocab size)
T5,random_xn_tok,128,map_at_100,0.922,T5(32128 vocab size)
OPT,random_xn_tok,14336,map_at_100,2.081,OPT(50272 vocab size)
OPT,random_xn_tok,12288,map_at_100,2.0660000000000003,OPT(50272 vocab size)
OPT,random_xn_tok,9216,map_at_100,2.0650000000000004,OPT(50272 vocab size)
OPT,random_xn_tok,7168,map_at_100,2.094,OPT(50272 vocab size)
OPT,random_xn_tok,5120,map_at_100,2.0650000000000004,OPT(50272 vocab size)
OPT,random_xn_tok,4096,map_at_100,2.048,OPT(50272 vocab size)
OPT,random_xn_tok,2560,map_at_100,2.059,OPT(50272 vocab size)
OPT,random_xn_tok,2048,map_at_100,1.9980000000000002,OPT(50272 vocab size)
OPT,random_xn_tok,1536,map_at_100,1.9720000000000002,OPT(50272 vocab size)
OPT,random_xn_tok,1088,map_at_100,1.9529999999999998,OPT(50272 vocab size)
OPT,random_xn_tok,1024,map_at_100,1.925,OPT(50272 vocab size)
OPT,random_xn_tok,768,map_at_100,1.8659999999999999,OPT(50272 vocab size)
OPT,random_xn_tok,512,map_at_100,1.675,OPT(50272 vocab size)
OPT,random_xn_tok,256,map_at_100,1.121,OPT(50272 vocab size)
OPT,random_xn_tok,128,map_at_100,0.7889999999999999,OPT(50272 vocab size)
Cerebras,random_xn_tok,14336,map_at_100,2.399,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,12288,map_at_100,2.399,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,9216,map_at_100,2.384,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,7168,map_at_100,2.351,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,5120,map_at_100,2.3449999999999998,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,4096,map_at_100,2.322,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,2560,map_at_100,2.241,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,2048,map_at_100,2.226,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1536,map_at_100,2.235,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1088,map_at_100,2.075,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1024,map_at_100,2.062,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,768,map_at_100,1.934,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,512,map_at_100,1.744,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,256,map_at_100,1.3860000000000001,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,128,map_at_100,0.8089999999999999,Cerebras(50257 vocab size)
Bloom,random_xn_tok,14336,map_at_100,2.952,Bloom(250880 vocab size)
Bloom,random_xn_tok,12288,map_at_100,2.971,Bloom(250880 vocab size)
Bloom,random_xn_tok,9216,map_at_100,2.946,Bloom(250880 vocab size)
Bloom,random_xn_tok,7168,map_at_100,2.942,Bloom(250880 vocab size)
Bloom,random_xn_tok,5120,map_at_100,2.884,Bloom(250880 vocab size)
Bloom,random_xn_tok,4096,map_at_100,2.8400000000000003,Bloom(250880 vocab size)
Bloom,random_xn_tok,2560,map_at_100,2.776,Bloom(250880 vocab size)
Bloom,random_xn_tok,2048,map_at_100,2.709,Bloom(250880 vocab size)
Bloom,random_xn_tok,1536,map_at_100,2.606,Bloom(250880 vocab size)
Bloom,random_xn_tok,1088,map_at_100,2.442,Bloom(250880 vocab size)
