tokenizer_name,analysis_type,embedding_size,metric_type,metric_value,axis_name
GPT-NeoX,random_xn_tok,14336,ndcg_at_10,3.657,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,12288,ndcg_at_10,3.643,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,9216,ndcg_at_10,3.6700000000000004,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,7168,ndcg_at_10,3.604,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,5120,ndcg_at_10,3.512,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,4096,ndcg_at_10,3.504,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2560,ndcg_at_10,3.374,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2048,ndcg_at_10,3.4290000000000003,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1536,ndcg_at_10,3.354,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1088,ndcg_at_10,3.1879999999999997,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1024,ndcg_at_10,3.1390000000000002,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,768,ndcg_at_10,2.947,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,512,ndcg_at_10,2.672,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,256,ndcg_at_10,2.206,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,128,ndcg_at_10,1.5779999999999998,GPT-NeoX(50304 vocab size)
T5,random_xn_tok,14336,ndcg_at_10,3.16,T5(32128 vocab size)
T5,random_xn_tok,12288,ndcg_at_10,3.163,T5(32128 vocab size)
T5,random_xn_tok,9216,ndcg_at_10,3.1419999999999995,T5(32128 vocab size)
T5,random_xn_tok,7168,ndcg_at_10,3.085,T5(32128 vocab size)
T5,random_xn_tok,5120,ndcg_at_10,3.107,T5(32128 vocab size)
T5,random_xn_tok,4096,ndcg_at_10,3.0700000000000003,T5(32128 vocab size)
T5,random_xn_tok,2560,ndcg_at_10,3.094,T5(32128 vocab size)
T5,random_xn_tok,2048,ndcg_at_10,3.069,T5(32128 vocab size)
T5,random_xn_tok,1536,ndcg_at_10,3.088,T5(32128 vocab size)
T5,random_xn_tok,1088,ndcg_at_10,3.117,T5(32128 vocab size)
T5,random_xn_tok,1024,ndcg_at_10,3.081,T5(32128 vocab size)
T5,random_xn_tok,768,ndcg_at_10,2.938,T5(32128 vocab size)
T5,random_xn_tok,512,ndcg_at_10,2.6100000000000003,T5(32128 vocab size)
T5,random_xn_tok,256,ndcg_at_10,2.198,T5(32128 vocab size)
T5,random_xn_tok,128,ndcg_at_10,1.5879999999999999,T5(32128 vocab size)
OPT,random_xn_tok,14336,ndcg_at_10,3.3489999999999998,OPT(50272 vocab size)
OPT,random_xn_tok,12288,ndcg_at_10,3.308,OPT(50272 vocab size)
OPT,random_xn_tok,9216,ndcg_at_10,3.318,OPT(50272 vocab size)
OPT,random_xn_tok,7168,ndcg_at_10,3.3369999999999997,OPT(50272 vocab size)
OPT,random_xn_tok,5120,ndcg_at_10,3.3070000000000004,OPT(50272 vocab size)
OPT,random_xn_tok,4096,ndcg_at_10,3.2960000000000003,OPT(50272 vocab size)
OPT,random_xn_tok,2560,ndcg_at_10,3.2640000000000002,OPT(50272 vocab size)
