model_name,analysis_type,embedding_size,metric_type,metric_value
opt-1.3b,random_xn,2048,map_at_100,2.004
opt-1.3b,full,2048,map_at_100,1.209
opt-125m,pad_14336,768,map_at_100,0.752
opt-125m,crop_128,768,map_at_100,0.377
opt-125m,random_xn,768,map_at_100,1.87
opt-125m,full,768,map_at_100,0.685
opt-350m,pad_14336,512,map_at_100,0.9570000000000001
opt-350m,crop_128,512,map_at_100,0.384
opt-350m,random_xn,512,map_at_100,1.806
opt-350m,full,512,map_at_100,0.715
pythia-12b,pad_14336,5120,map_at_100,4.351
pythia-12b,crop_128,5120,map_at_100,0.6890000000000001
pythia-12b,random_xn,5120,map_at_100,2.273
pythia-12b,full,5120,map_at_100,4.5969999999999995
pythia-6.9B,pad_14336,4096,map_at_100,4.251
pythia-6.9B,crop_128,4096,map_at_100,0.6890000000000001
pythia-6.9B,random_xn,4096,map_at_100,2.3009999999999997
pythia-6.9B,full,4096,map_at_100,4.549
pythia-2.8b,pad_14336,2560,map_at_100,4.6739999999999995
pythia-2.8b,crop_128,2560,map_at_100,0.6890000000000001
pythia-2.8b,random_xn,2560,map_at_100,2.2640000000000002
pythia-2.8b,full,2560,map_at_100,4.997
pythia-1.4b,pad_14336,2048,map_at_100,4.6690000000000005
pythia-1.4b,crop_128,2048,map_at_100,0.6890000000000001
pythia-1.4b,random_xn,2048,map_at_100,2.259
pythia-1.4b,full,2048,map_at_100,4.988
pythia-1b,pad_14336,2048,map_at_100,4.967
pythia-1b,crop_128,2048,map_at_100,0.6890000000000001
pythia-1b,random_xn,2048,map_at_100,2.259
pythia-1b,full,2048,map_at_100,5.222
pythia-410m,pad_14336,1024,map_at_100,4.09
pythia-410m,crop_128,1024,map_at_100,0.6890000000000001
pythia-410m,random_xn,1024,map_at_100,2.089
pythia-410m,full,1024,map_at_100,4.347
pythia-160m,pad_14336,768,map_at_100,4.087
pythia-160m,crop_128,768,map_at_100,0.6890000000000001
pythia-160m,random_xn,768,map_at_100,2.018
pythia-160m,full,768,map_at_100,4.117
pythia-70m,pad_14336,512,map_at_100,3.457
pythia-70m,crop_128,512,map_at_100,0.6890000000000001
pythia-70m,random_xn,512,map_at_100,1.944
pythia-70m,full,512,map_at_100,3.017
pythia-31m,pad_14336,256,map_at_100,2.988
pythia-31m,crop_128,256,map_at_100,0.6890000000000001
pythia-31m,random_xn,256,map_at_100,1.355
pythia-31m,full,256,map_at_100,2.013
pythia-14m,pad_14336,128,map_at_100,2.675
pythia-14m,crop_128,128,map_at_100,0.6890000000000001
pythia-14m,random_xn,128,map_at_100,0.777
pythia-14m,full,128,map_at_100,1.127
