model_name,analysis_type,embedding_size,metric_type,metric_value
opt-13b,random_xn,5120,ndcg_at_10,3.25
opt-13b,full,5120,ndcg_at_10,5.7059999999999995
opt-6.7b,pad_14336,4096,ndcg_at_10,3.453
opt-6.7b,crop_128,4096,ndcg_at_10,1.359
opt-6.7b,random_xn,4096,ndcg_at_10,3.283
opt-6.7b,full,4096,ndcg_at_10,3.376
opt-2.7b,pad_14336,2560,ndcg_at_10,3.443
opt-2.7b,crop_128,2560,ndcg_at_10,1.125
opt-2.7b,random_xn,2560,ndcg_at_10,3.343
opt-2.7b,full,2560,ndcg_at_10,3.3230000000000004
opt-1.3b,pad_14336,2048,ndcg_at_10,2.157
opt-1.3b,crop_128,2048,ndcg_at_10,1.118
opt-1.3b,random_xn,2048,ndcg_at_10,3.1780000000000004
opt-1.3b,full,2048,ndcg_at_10,2.046
opt-125m,pad_14336,768,ndcg_at_10,1.2850000000000001
opt-125m,crop_128,768,ndcg_at_10,0.63
opt-125m,random_xn,768,ndcg_at_10,3.06
opt-125m,full,768,ndcg_at_10,1.21
opt-350m,pad_14336,512,ndcg_at_10,1.645
opt-350m,crop_128,512,ndcg_at_10,0.651
opt-350m,random_xn,512,ndcg_at_10,2.9850000000000003
opt-350m,full,512,ndcg_at_10,1.246
pythia-12b,pad_14336,5120,ndcg_at_10,6.766
pythia-12b,crop_128,5120,ndcg_at_10,1.27
pythia-12b,random_xn,5120,ndcg_at_10,3.583
pythia-12b,full,5120,ndcg_at_10,7.109
pythia-6.9B,pad_14336,4096,ndcg_at_10,6.672000000000001
pythia-6.9B,crop_128,4096,ndcg_at_10,1.27
pythia-6.9B,random_xn,4096,ndcg_at_10,3.573
pythia-6.9B,full,4096,ndcg_at_10,7.04
pythia-2.8b,pad_14336,2560,ndcg_at_10,7.290000000000001
pythia-2.8b,crop_128,2560,ndcg_at_10,1.27
pythia-2.8b,random_xn,2560,ndcg_at_10,3.6310000000000002
pythia-2.8b,full,2560,ndcg_at_10,7.688000000000001
pythia-1.4b,pad_14336,2048,ndcg_at_10,7.086
pythia-1.4b,crop_128,2048,ndcg_at_10,1.27
pythia-1.4b,random_xn,2048,ndcg_at_10,3.592
pythia-1.4b,full,2048,ndcg_at_10,7.707
pythia-1b,pad_14336,2048,ndcg_at_10,7.531000000000001
pythia-1b,crop_128,2048,ndcg_at_10,1.27
pythia-1b,random_xn,2048,ndcg_at_10,3.592
pythia-1b,full,2048,ndcg_at_10,8.062999999999999
pythia-410m,pad_14336,1024,ndcg_at_10,6.364
pythia-410m,crop_128,1024,ndcg_at_10,1.27
pythia-410m,random_xn,1024,ndcg_at_10,3.415
pythia-410m,full,1024,ndcg_at_10,6.893000000000001
pythia-160m,pad_14336,768,ndcg_at_10,6.295000000000001
pythia-160m,crop_128,768,ndcg_at_10,1.27
pythia-160m,random_xn,768,ndcg_at_10,3.3550000000000004
pythia-160m,full,768,ndcg_at_10,6.3740000000000006
pythia-70m,pad_14336,512,ndcg_at_10,5.408
pythia-70m,crop_128,512,ndcg_at_10,1.27
pythia-70m,random_xn,512,ndcg_at_10,3.2419999999999995
pythia-70m,full,512,ndcg_at_10,4.784999999999999
pythia-31m,pad_14336,256,ndcg_at_10,4.755
pythia-31m,crop_128,256,ndcg_at_10,1.27
pythia-31m,random_xn,256,ndcg_at_10,2.402
pythia-31m,full,256,ndcg_at_10,3.254
pythia-14m,pad_14336,128,ndcg_at_10,4.258
pythia-14m,crop_128,128,ndcg_at_10,1.27
pythia-14m,random_xn,128,ndcg_at_10,1.413
pythia-14m,full,128,ndcg_at_10,1.797
