tokenizer_name,analysis_type,embedding_size,metric_type,metric_value,axis_name
Bloom,random_xn_tok,12288,ndcg_at_10,4.642,Bloom(250880 vocab size)
Bloom,random_xn_tok,9216,ndcg_at_10,4.635,Bloom(250880 vocab size)
Bloom,random_xn_tok,7168,ndcg_at_10,4.564,Bloom(250880 vocab size)
Bloom,random_xn_tok,5120,ndcg_at_10,4.594,Bloom(250880 vocab size)
Bloom,random_xn_tok,4096,ndcg_at_10,4.596,Bloom(250880 vocab size)
Bloom,random_xn_tok,2560,ndcg_at_10,4.41,Bloom(250880 vocab size)
Bloom,random_xn_tok,2048,ndcg_at_10,4.328,Bloom(250880 vocab size)
Bloom,random_xn_tok,1536,ndcg_at_10,4.135,Bloom(250880 vocab size)
Bloom,random_xn_tok,1088,ndcg_at_10,4.039000000000001,Bloom(250880 vocab size)
Bloom,random_xn_tok,1024,ndcg_at_10,4.045,Bloom(250880 vocab size)
Bloom,random_xn_tok,768,ndcg_at_10,3.914,Bloom(250880 vocab size)
Bloom,random_xn_tok,512,ndcg_at_10,3.691,Bloom(250880 vocab size)
Bloom,random_xn_tok,256,ndcg_at_10,2.973,Bloom(250880 vocab size)
Bloom,random_xn_tok,128,ndcg_at_10,1.748,Bloom(250880 vocab size)
