tokenizer_name,analysis_type,embedding_size,metric_type,metric_value,axis_name
GPT-NeoX,random_xn_tok,14336,ndcg_at_10,3.762,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,12288,ndcg_at_10,3.758,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,9216,ndcg_at_10,3.66,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,7168,ndcg_at_10,3.655,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,5120,ndcg_at_10,3.6799999999999997,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,4096,ndcg_at_10,3.617,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2560,ndcg_at_10,3.6069999999999998,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2048,ndcg_at_10,3.54,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1536,ndcg_at_10,3.47,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1088,ndcg_at_10,3.2750000000000004,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1024,ndcg_at_10,3.3160000000000003,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,768,ndcg_at_10,3.0220000000000002,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,512,ndcg_at_10,2.9579999999999997,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,256,ndcg_at_10,2.103,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,128,ndcg_at_10,1.295,GPT-NeoX(50304 vocab size)
T5,random_xn_tok,14336,ndcg_at_10,3.097,T5(32128 vocab size)
T5,random_xn_tok,12288,ndcg_at_10,3.1,T5(32128 vocab size)
T5,random_xn_tok,9216,ndcg_at_10,3.048,T5(32128 vocab size)
T5,random_xn_tok,7168,ndcg_at_10,3.072,T5(32128 vocab size)
T5,random_xn_tok,5120,ndcg_at_10,3.041,T5(32128 vocab size)
T5,random_xn_tok,4096,ndcg_at_10,3.009,T5(32128 vocab size)
T5,random_xn_tok,2560,ndcg_at_10,3.036,T5(32128 vocab size)
T5,random_xn_tok,2048,ndcg_at_10,3.087,T5(32128 vocab size)
T5,random_xn_tok,1536,ndcg_at_10,2.939,T5(32128 vocab size)
T5,random_xn_tok,1088,ndcg_at_10,2.775,T5(32128 vocab size)
T5,random_xn_tok,1024,ndcg_at_10,2.791,T5(32128 vocab size)
T5,random_xn_tok,768,ndcg_at_10,2.871,T5(32128 vocab size)
T5,random_xn_tok,512,ndcg_at_10,2.589,T5(32128 vocab size)
T5,random_xn_tok,256,ndcg_at_10,2.335,T5(32128 vocab size)
T5,random_xn_tok,128,ndcg_at_10,1.543,T5(32128 vocab size)
OPT,random_xn_tok,14336,ndcg_at_10,3.3169999999999997,OPT(50272 vocab size)
OPT,random_xn_tok,12288,ndcg_at_10,3.3070000000000004,OPT(50272 vocab size)
OPT,random_xn_tok,9216,ndcg_at_10,3.3320000000000003,OPT(50272 vocab size)
OPT,random_xn_tok,7168,ndcg_at_10,3.282,OPT(50272 vocab size)
OPT,random_xn_tok,5120,ndcg_at_10,3.253,OPT(50272 vocab size)
OPT,random_xn_tok,4096,ndcg_at_10,3.1559999999999997,OPT(50272 vocab size)
OPT,random_xn_tok,2560,ndcg_at_10,3.2489999999999997,OPT(50272 vocab size)
OPT,random_xn_tok,2048,ndcg_at_10,3.289,OPT(50272 vocab size)
OPT,random_xn_tok,1536,ndcg_at_10,3.237,OPT(50272 vocab size)
OPT,random_xn_tok,1088,ndcg_at_10,3.2009999999999996,OPT(50272 vocab size)
OPT,random_xn_tok,1024,ndcg_at_10,3.11,OPT(50272 vocab size)
OPT,random_xn_tok,768,ndcg_at_10,3.0140000000000002,OPT(50272 vocab size)
OPT,random_xn_tok,512,ndcg_at_10,2.984,OPT(50272 vocab size)
OPT,random_xn_tok,256,ndcg_at_10,2.538,OPT(50272 vocab size)
OPT,random_xn_tok,128,ndcg_at_10,1.4909999999999999,OPT(50272 vocab size)
Cerebras,random_xn_tok,14336,ndcg_at_10,3.882,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,12288,ndcg_at_10,3.8539999999999996,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,9216,ndcg_at_10,3.7969999999999997,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,7168,ndcg_at_10,3.849,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,5120,ndcg_at_10,3.8830000000000005,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,4096,ndcg_at_10,3.8989999999999996,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,2560,ndcg_at_10,3.678,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,2048,ndcg_at_10,3.6679999999999997,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1536,ndcg_at_10,3.6510000000000002,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1088,ndcg_at_10,3.644,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1024,ndcg_at_10,3.6020000000000003,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,768,ndcg_at_10,3.374,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,512,ndcg_at_10,3.1119999999999997,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,256,ndcg_at_10,2.281,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,128,ndcg_at_10,1.398,Cerebras(50257 vocab size)
Bloom,random_xn_tok,14336,ndcg_at_10,4.734,Bloom(250880 vocab size)
Bloom,random_xn_tok,12288,ndcg_at_10,4.723999999999999,Bloom(250880 vocab size)
Bloom,random_xn_tok,9216,ndcg_at_10,4.707999999999999,Bloom(250880 vocab size)
Bloom,random_xn_tok,7168,ndcg_at_10,4.694,Bloom(250880 vocab size)
Bloom,random_xn_tok,5120,ndcg_at_10,4.673,Bloom(250880 vocab size)
Bloom,random_xn_tok,4096,ndcg_at_10,4.632,Bloom(250880 vocab size)
Bloom,random_xn_tok,2560,ndcg_at_10,4.494,Bloom(250880 vocab size)
Bloom,random_xn_tok,2048,ndcg_at_10,4.408,Bloom(250880 vocab size)
Bloom,random_xn_tok,1536,ndcg_at_10,4.257,Bloom(250880 vocab size)
Bloom,random_xn_tok,1088,ndcg_at_10,4.284000000000001,Bloom(250880 vocab size)
Bloom,random_xn_tok,1024,ndcg_at_10,4.276,Bloom(250880 vocab size)
Bloom,random_xn_tok,768,ndcg_at_10,4.147,Bloom(250880 vocab size)
