tokenizer_name,analysis_type,embedding_size,metric_type,metric_value,axis_name
GPT-NeoX,random_xn_tok,14336,map_at_100,2.297,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,12288,map_at_100,2.281,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,9216,map_at_100,2.245,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,7168,map_at_100,2.237,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,5120,map_at_100,2.2880000000000003,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,4096,map_at_100,2.2239999999999998,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2560,map_at_100,2.183,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,2048,map_at_100,2.137,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1536,map_at_100,2.1590000000000003,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1088,map_at_100,2.0820000000000003,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,1024,map_at_100,2.073,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,768,map_at_100,1.9269999999999998,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,512,map_at_100,1.791,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,256,map_at_100,1.351,GPT-NeoX(50304 vocab size)
GPT-NeoX,random_xn_tok,128,map_at_100,0.831,GPT-NeoX(50304 vocab size)
T5,random_xn_tok,14336,map_at_100,1.92,T5(32128 vocab size)
T5,random_xn_tok,12288,map_at_100,1.917,T5(32128 vocab size)
T5,random_xn_tok,9216,map_at_100,1.9120000000000001,T5(32128 vocab size)
T5,random_xn_tok,7168,map_at_100,1.9189999999999998,T5(32128 vocab size)
T5,random_xn_tok,5120,map_at_100,1.9640000000000002,T5(32128 vocab size)
T5,random_xn_tok,4096,map_at_100,1.9429999999999998,T5(32128 vocab size)
T5,random_xn_tok,2560,map_at_100,1.9009999999999998,T5(32128 vocab size)
T5,random_xn_tok,2048,map_at_100,1.915,T5(32128 vocab size)
T5,random_xn_tok,1536,map_at_100,1.812,T5(32128 vocab size)
T5,random_xn_tok,1088,map_at_100,1.8010000000000002,T5(32128 vocab size)
T5,random_xn_tok,1024,map_at_100,1.8159999999999998,T5(32128 vocab size)
T5,random_xn_tok,768,map_at_100,1.73,T5(32128 vocab size)
T5,random_xn_tok,512,map_at_100,1.5630000000000002,T5(32128 vocab size)
T5,random_xn_tok,256,map_at_100,1.213,T5(32128 vocab size)
T5,random_xn_tok,128,map_at_100,0.7889999999999999,T5(32128 vocab size)
OPT,random_xn_tok,14336,map_at_100,2.077,OPT(50272 vocab size)
OPT,random_xn_tok,12288,map_at_100,2.061,OPT(50272 vocab size)
OPT,random_xn_tok,9216,map_at_100,2.051,OPT(50272 vocab size)
OPT,random_xn_tok,7168,map_at_100,2.0740000000000003,OPT(50272 vocab size)
OPT,random_xn_tok,5120,map_at_100,1.944,OPT(50272 vocab size)
OPT,random_xn_tok,4096,map_at_100,1.9849999999999999,OPT(50272 vocab size)
OPT,random_xn_tok,2560,map_at_100,1.918,OPT(50272 vocab size)
OPT,random_xn_tok,2048,map_at_100,1.889,OPT(50272 vocab size)
OPT,random_xn_tok,1536,map_at_100,1.8880000000000001,OPT(50272 vocab size)
OPT,random_xn_tok,1088,map_at_100,1.841,OPT(50272 vocab size)
OPT,random_xn_tok,1024,map_at_100,1.7950000000000002,OPT(50272 vocab size)
OPT,random_xn_tok,768,map_at_100,1.783,OPT(50272 vocab size)
OPT,random_xn_tok,512,map_at_100,1.591,OPT(50272 vocab size)
OPT,random_xn_tok,256,map_at_100,1.191,OPT(50272 vocab size)
OPT,random_xn_tok,128,map_at_100,0.749,OPT(50272 vocab size)
Cerebras,random_xn_tok,14336,map_at_100,2.402,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,12288,map_at_100,2.378,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,9216,map_at_100,2.385,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,7168,map_at_100,2.391,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,5120,map_at_100,2.29,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,4096,map_at_100,2.289,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,2560,map_at_100,2.1870000000000003,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,2048,map_at_100,2.168,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1536,map_at_100,2.147,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1088,map_at_100,2.043,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,1024,map_at_100,2.045,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,768,map_at_100,1.949,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,512,map_at_100,1.7129999999999999,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,256,map_at_100,1.273,Cerebras(50257 vocab size)
Cerebras,random_xn_tok,128,map_at_100,0.703,Cerebras(50257 vocab size)
Bloom,random_xn_tok,14336,map_at_100,2.844,Bloom(250880 vocab size)
Bloom,random_xn_tok,12288,map_at_100,2.841,Bloom(250880 vocab size)
Bloom,random_xn_tok,9216,map_at_100,2.83,Bloom(250880 vocab size)
Bloom,random_xn_tok,7168,map_at_100,2.77,Bloom(250880 vocab size)
Bloom,random_xn_tok,5120,map_at_100,2.809,Bloom(250880 vocab size)
Bloom,random_xn_tok,4096,map_at_100,2.7550000000000003,Bloom(250880 vocab size)
Bloom,random_xn_tok,2560,map_at_100,2.688,Bloom(250880 vocab size)
Bloom,random_xn_tok,2048,map_at_100,2.635,Bloom(250880 vocab size)
Bloom,random_xn_tok,1536,map_at_100,2.564,Bloom(250880 vocab size)
Bloom,random_xn_tok,1088,map_at_100,2.41,Bloom(250880 vocab size)
Bloom,random_xn_tok,1024,map_at_100,2.41,Bloom(250880 vocab size)
Bloom,random_xn_tok,768,map_at_100,2.274,Bloom(250880 vocab size)
Bloom,random_xn_tok,512,map_at_100,1.944,Bloom(250880 vocab size)
Bloom,random_xn_tok,256,map_at_100,1.599,Bloom(250880 vocab size)
Bloom,random_xn_tok,128,map_at_100,0.856,Bloom(250880 vocab size)
